Ant,Aggscore,spices,visits,Date,Aggressive
1,9.5,2,3,8/16,no
2,29.5,5,6,8/16,yes
3,2.5,3,4,8/16,no
4,25.5,2,2,8/16,yes
5,11,2,2,8/16,no
6,24,2,3,8/16,yes
7,9.5,7,7,8/16,no
8,1.5,2,3,8/16,no
9,2,3,4,8/16,no
10,0,1,1,8/16,no
11,5,2,2,8/16,no
12,23,1,1,8/16,yes
13,3.5,1,1,8/16,no
14,10.5,1,2,8/16,no
15,23.5,4,4,8/16,yes
16,21,1,2,8/16,yes
17,7,5,5,8/16,no
18,0,1,1,8/16,no
19,12.5,4,4,8/17,no
20,8,5,5,8/17,no
21,1.5,7,8,8/17,no
22,0,1,1,8/17,no
23,27,6,9,8/17,yes
24,3.5,2,2,8/17,no
25,0,5,7,8/17,no
26,25,3,4,8/17,yes
27,3,1,1,8/17,no
28,5.5,5,8,8/17,no
29,31,1,2,8/17,yes
30,9.5,1,1,8/17,no
31,26,4,6,8/17,yes
32,0,3,4,8/17,no
33,23.5,1,1,8/17,yes
34,6.5,0,0,8/17,no
35,1.5,1,1,8/17,no
36,0,3,3,8/17,no
37,9.5,1,1,8/17,no
38,0,1,1,8/17,no
39,0,1,1,8/17,no
40,10.5,8,12,8/17,no
41,5,3,5,8/17,no
42,21.5,1,2,8/17,yes
43,4.5,1,1,8/18,no
44,11,1,1,8/18,no
45,10.5,6,7,8/18,no
46,3,3,5,8/18,no
47,8,5,7,8/18,no
48,32,4,5,8/18,yes
49,34,4,6,8/18,yes
50,8.5,1,1,8/18,no
51,5,2,2,8/18,no
52,28,3,4,8/18,yes
53,19,3,4,8/18,yes
54,0,2,2,8/18,no